customerid,cardnumber,cvvno,authfactor,cardtype,currencyid,issuemonth,issueyear,validuptomonth,validuptoyear,creditlimit,cashlimit,cardstatusid
331,5212345678900331,700,VI650939,1,1,3,2014,3,2019,17448.0,1744.8,1
332,5212345678900332,687,MA202461,2,1,6,2014,6,2020,43388.0,4338.8,1
333,5212345678900333,517,MA211117,2,1,5,2014,5,2020,13948.0,1394.8,1
334,5212345678900334,338,VI967882,1,1,8,2014,8,2020,47606.0,4760.6,1
335,5212345678900335,738,VI136261,1,1,11,2014,11,2018,18304.0,1830.4,1
336,5212345678900336,651,MA243461,2,1,2,2014,2,2019,48720.0,4872.0,1
337,5212345678900337,146,MA107950,2,1,6,2014,6,2019,32104.0,3210.4,1
338,5212345678900338,477,VI946002,1,1,10,2014,10,2019,17784.0,1778.4,1
339,5212345678900339,802,MA701345,2,1,9,2014,9,2017,59612.0,5961.2,1
340,5212345678900340,776,VI905026,1,1,11,2014,11,2017,56782.0,5678.2,1
341,5212345678900341,169,VI526314,1,1,9,2014,9,2019,38274.0,3827.4,1
342,5212345678900342,714,VI712046,1,1,2,2014,2,2017,66616.0,6661.6,1
343,5212345678900343,964,VI355796,1,1,7,2014,7,2020,58728.0,5872.8,1
344,5212345678900344,250,VI484019,1,1,5,2014,5,2019,42028.0,4202.8,1
345,5212345678900345,992,AM144197,3,1,6,2014,6,2020,26126.0,2612.6,1
346,5212345678900346,494,VI731103,1,1,2,2014,2,2018,21076.0,2107.6,1
347,5212345678900347,692,VI564057,1,1,8,2014,8,2020,54706.0,5470.6,1
348,5212345678900348,808,VI332195,1,1,6,2014,6,2019,56584.0,5658.4,1
349,5212345678900349,925,VI667348,1,1,12,2014,12,2018,18716.0,1871.6,1
350,5212345678900350,732,VI415900,1,1,6,2014,6,2020,12466.0,1246.6,1
351,5212345678900351,297,VI203560,1,1,3,2014,3,2019,51112.0,5111.2,1
352,5212345678900352,641,VI307151,1,1,9,2014,9,2018,27522.0,2752.2,1
353,5212345678900353,209,VI608380,1,1,11,2014,11,2019,12930.0,1293.0,1
354,5212345678900354,763,VI129409,1,1,4,2014,4,2020,30714.0,3071.4,1
355,5212345678900355,255,VI392283,1,1,8,2014,8,2017,48944.0,4894.4,1
356,5212345678900356,335,VI847227,1,1,5,2014,5,2017,57552.0,5755.2,1
357,5212345678900357,293,MA463582,2,1,5,2014,5,2020,44310.0,4431.0,1
358,5212345678900358,433,VI512024,1,1,8,2014,8,2020,49314.0,4931.4,1
359,5212345678900359,659,MA987217,2,1,10,2014,10,2020,34924.0,3492.4,1
360,5212345678900360,478,VI604316,1,1,10,2014,10,2020,13986.0,1398.6,1
361,5212345678900361,604,VI559873,1,1,12,2014,12,2020,9708.0,970.8,1
362,5212345678900362,972,MA559168,2,1,7,2014,7,2019,60982.0,6098.2,1
363,5212345678900363,850,AM787303,3,1,12,2014,12,2018,39640.0,3964.0,1
364,5212345678900364,832,VI240419,1,1,3,2014,3,2018,60298.0,6029.8,1
365,5212345678900365,806,VI719130,1,1,5,2014,5,2018,23306.0,2330.6,1
366,5212345678900366,218,AM872089,3,1,7,2014,7,2017,22014.0,2201.4,1
367,5212345678900367,585,VI540460,1,1,7,2014,7,2017,15686.0,1568.6,1
368,5212345678900368,119,VI424178,1,1,1,2014,1,2018,36648.0,3664.8,1
369,5212345678900369,382,VI265751,1,1,11,2014,11,2018,35366.0,3536.6,1
370,5212345678900370,389,MA537331,2,1,7,2014,7,2019,9566.0,956.6,1
371,5212345678900371,632,VI761044,1,1,4,2014,4,2017,53530.0,5353.0,1
372,5212345678900372,927,VI187977,1,1,4,2014,4,2020,29312.0,2931.2,1
373,5212345678900373,979,MA118640,2,1,10,2014,10,2018,14890.0,1489.0,1
374,5212345678900374,425,MA473052,2,1,11,2014,11,2017,21806.0,2180.6,1
375,5212345678900375,513,MA717049,2,1,7,2014,7,2019,24422.0,2442.2,1
376,5212345678900376,238,MA401524,2,1,7,2014,7,2020,50726.0,5072.6,1
377,5212345678900377,488,VI988737,1,1,6,2014,6,2020,10322.0,1032.2,1
378,5212345678900378,406,VI527639,1,1,10,2014,10,2020,51270.0,5127.0,1
379,5212345678900379,438,AM108700,3,1,12,2014,12,2017,43634.0,4363.4,1
380,5212345678900380,763,VI184554,1,1,11,2014,11,2017,41308.0,4130.8,1
381,5212345678900381,994,VI678924,1,1,5,2014,5,2019,58350.0,5835.0,1
382,5212345678900382,889,MA914111,2,1,6,2014,6,2017,64676.0,6467.6,1
383,5212345678900383,281,VI465258,1,1,12,2014,12,2020,61460.0,6146.0,1
384,5212345678900384,119,VI668635,1,1,5,2014,5,2018,43290.0,4329.0,1
385,5212345678900385,965,MA858500,2,1,10,2014,10,2017,9450.0,945.0,1
386,5212345678900386,253,AM503956,3,1,1,2014,1,2020,59192.0,5919.2,1
387,5212345678900387,135,MA754917,2,1,2,2014,2,2020,31324.0,3132.4,1
388,5212345678900388,702,VI650674,1,1,1,2014,1,2017,16170.0,1617.0,1
389,5212345678900389,102,MA614937,2,1,6,2014,6,2019,20036.0,2003.6,1
390,5212345678900390,309,AM778834,3,1,8,2014,8,2018,10968.0,1096.8,1
391,5212345678900391,645,AM187416,3,1,3,2014,3,2017,40796.0,4079.6,1
392,5212345678900392,952,MA526127,2,1,8,2014,8,2018,13944.0,1394.4,1
393,5212345678900393,431,MA129648,2,1,12,2014,12,2019,21406.0,2140.6,1
394,5212345678900394,495,MA304122,2,1,1,2014,1,2020,44980.0,4498.0,1
395,5212345678900395,420,MA308055,2,1,2,2014,2,2020,24532.0,2453.2,1
396,5212345678900396,882,MA980426,2,1,6,2014,6,2017,30020.0,3002.0,1
397,5212345678900397,781,VI464038,1,1,4,2014,4,2018,24358.0,2435.8,1
398,5212345678900398,559,MA515735,2,1,9,2014,9,2019,21724.0,2172.4,1
399,5212345678900399,582,VI402474,1,1,4,2014,4,2017,29366.0,2936.6,1
400,5212345678900400,833,VI748190,1,1,7,2014,7,2018,21190.0,2119.0,1
401,5212345678900401,777,VI833853,1,1,9,2014,9,2017,58806.0,5880.6,1
402,5212345678900402,765,VI476674,1,1,11,2014,11,2020,19156.0,1915.6,1
403,5212345678900403,170,MA400335,2,1,5,2014,5,2019,42832.0,4283.2,1
404,5212345678900404,706,VI918498,1,1,11,2014,11,2018,26498.0,2649.8,1
405,5212345678900405,556,MA977996,2,1,5,2014,5,2019,66594.0,6659.4,1
406,5212345678900406,687,VI221606,1,1,4,2014,4,2019,61724.0,6172.4,1
407,5212345678900407,711,VI955223,1,1,8,2014,8,2020,10692.0,1069.2,1
408,5212345678900408,874,VI452133,1,1,4,2014,4,2020,49528.0,4952.8,1
409,5212345678900409,821,VI145356,1,1,6,2014,6,2018,58402.0,5840.2,1
410,5212345678900410,714,VI994863,1,1,2,2014,2,2017,35402.0,3540.2,1
411,5212345678900411,467,MA888883,2,1,8,2014,8,2019,37266.0,3726.6,1
412,5212345678900412,860,MA177500,2,1,6,2014,6,2019,23974.0,2397.4,1
413,5212345678900413,760,VI993719,1,1,8,2014,8,2019,25636.0,2563.6,1
414,5212345678900414,956,VI893671,1,1,3,2014,3,2017,24898.0,2489.8,1
415,5212345678900415,159,MA741181,2,1,10,2014,10,2020,52182.0,5218.2,1
416,5212345678900416,129,MA162982,2,1,12,2014,12,2020,26296.0,2629.6,1
417,5212345678900417,562,VI538779,1,1,8,2014,8,2019,37140.0,3714.0,1
418,5212345678900418,134,MA274778,2,1,1,2014,1,2018,18736.0,1873.6,1
419,5212345678900419,909,MA968306,2,1,11,2014,11,2018,32536.0,3253.6,1
420,5212345678900420,628,VI271075,1,1,1,2014,1,2020,18446.0,1844.6,1
421,5212345678900421,818,MA939562,2,1,4,2014,4,2020,17688.0,1768.8,1
422,5212345678900422,276,MA582870,2,1,9,2014,9,2020,66328.0,6632.8,1
423,5212345678900423,741,AM763139,3,1,2,2014,2,2018,33160.0,3316.0,1
424,5212345678900424,477,VI325983,1,1,4,2014,4,2019,23010.0,2301.0,1
425,5212345678900425,835,MA861640,2,1,10,2014,10,2019,9710.0,971.0,1
426,5212345678900426,874,VI228362,1,1,8,2014,8,2020,62780.0,6278.0,1
427,5212345678900427,257,AM645235,3,1,7,2014,7,2020,17096.0,1709.6,1
428,5212345678900428,658,VI705116,1,1,4,2014,4,2018,35374.0,3537.4,1
429,5212345678900429,105,VI464212,1,1,11,2014,11,2020,29324.0,2932.4,1
430,5212345678900430,387,MA463237,2,1,3,2014,3,2017,23128.0,2312.8,1
431,5212345678900431,955,AM421450,3,1,12,2014,12,2019,56568.0,5656.8,1
432,5212345678900432,196,MA659839,2,1,5,2014,5,2018,24230.0,2423.0,1
433,5212345678900433,556,VI295129,1,1,8,2014,8,2020,49310.0,4931.0,1
434,5212345678900434,506,MA802646,2,1,9,2014,9,2018,28160.0,2816.0,1
435,5212345678900435,883,VI164722,1,1,7,2014,7,2020,25028.0,2502.8,1
436,5212345678900436,431,VI482416,1,1,7,2014,7,2017,54122.0,5412.2,1
437,5212345678900437,838,VI309149,1,1,4,2014,4,2018,64948.0,6494.8,1
438,5212345678900438,168,AM985956,3,1,3,2014,3,2020,19582.0,1958.2,1
439,5212345678900439,950,MA302193,2,1,1,2014,1,2018,44038.0,4403.8,1
440,5212345678900440,133,MA652975,2,1,9,2014,9,2019,21404.0,2140.4,1
441,5212345678900441,466,MA355259,2,1,5,2014,5,2019,22476.0,2247.6,1
442,5212345678900442,746,VI901150,1,1,11,2014,11,2020,42374.0,4237.4,1
443,5212345678900443,877,MA471958,2,1,3,2014,3,2017,32204.0,3220.4,1
444,5212345678900444,362,MA626955,2,1,10,2014,10,2019,30440.0,3044.0,1
445,5212345678900445,339,VI385836,1,1,5,2014,5,2017,42950.0,4295.0,1
446,5212345678900446,674,MA709126,2,1,2,2014,2,2020,38174.0,3817.4,1
447,5212345678900447,446,VI233169,1,1,11,2014,11,2019,22048.0,2204.8,1
448,5212345678900448,584,VI408119,1,1,5,2014,5,2019,23368.0,2336.8,1
449,5212345678900449,855,MA772837,2,1,1,2014,1,2017,24334.0,2433.4,1
450,5212345678900450,273,MA410490,2,1,3,2014,3,2019,39614.0,3961.4,1
451,5212345678900451,894,VI714120,1,1,9,2014,9,2020,16554.0,1655.4,1
452,5212345678900452,927,MA218052,2,1,1,2014,1,2019,35564.0,3556.4,1
453,5212345678900453,291,MA628494,2,1,8,2014,8,2020,20942.0,2094.2,1
454,5212345678900454,331,VI144958,1,1,4,2014,4,2020,21020.0,2102.0,1
455,5212345678900455,136,VI925606,1,1,11,2014,11,2018,44334.0,4433.4,1
456,5212345678900456,658,VI461170,1,1,2,2014,2,2017,44400.0,4440.0,1
457,5212345678900457,784,VI964617,1,1,11,2014,11,2019,23186.0,2318.6,1
458,5212345678900458,626,AM163768,3,1,9,2014,9,2017,54868.0,5486.8,1
459,5212345678900459,262,MA655328,2,1,2,2014,2,2017,12038.0,1203.8,1
460,5212345678900460,678,VI596906,1,1,3,2014,3,2018,19404.0,1940.4,1
461,5212345678900461,703,VI715510,1,1,1,2014,1,2017,63746.0,6374.6,1
462,5212345678900462,692,MA149598,2,1,11,2014,11,2017,29416.0,2941.6,1
463,5212345678900463,883,VI541430,1,1,6,2014,6,2017,23856.0,2385.6,1
464,5212345678900464,404,VI950226,1,1,3,2014,3,2017,11174.0,1117.4,1
465,5212345678900465,219,VI467305,1,1,12,2014,12,2017,12094.0,1209.4,1
466,5212345678900466,679,AM381617,3,1,12,2014,12,2018,44364.0,4436.4,1
467,5212345678900467,621,VI724051,1,1,8,2014,8,2020,35434.0,3543.4,1
468,5212345678900468,119,MA193611,2,1,11,2014,11,2019,44364.0,4436.4,1
469,5212345678900469,307,VI613414,1,1,5,2014,5,2017,8740.0,874.0,1
470,5212345678900470,594,AM445520,3,1,1,2014,1,2019,36172.0,3617.2,1
471,5212345678900471,841,AM393439,3,1,4,2014,4,2017,59304.0,5930.4,1
472,5212345678900472,850,VI698349,1,1,10,2014,10,2017,8888.0,888.8,1
473,5212345678900473,198,MA462387,2,1,6,2014,6,2018,25896.0,2589.6,1
474,5212345678900474,835,VI493854,1,1,2,2014,2,2019,44758.0,4475.8,1
475,5212345678900475,480,AM948482,3,1,5,2014,5,2020,26234.0,2623.4,1
476,5212345678900476,297,AM542709,3,1,3,2014,3,2017,31234.0,3123.4,1
477,5212345678900477,923,MA253432,2,1,8,2014,8,2018,15314.0,1531.4,1
478,5212345678900478,688,AM532339,3,1,3,2014,3,2019,15224.0,1522.4,1
479,5212345678900479,849,VI494741,1,1,1,2014,1,2020,61226.0,6122.6,1
480,5212345678900480,151,VI833227,1,1,8,2014,8,2020,63822.0,6382.2,1
481,5212345678900481,798,VI674950,1,1,5,2014,5,2018,38382.0,3838.2,1
482,5212345678900482,770,VI856897,1,1,4,2014,4,2019,49536.0,4953.6,1
483,5212345678900483,724,VI676839,1,1,9,2014,9,2017,62308.0,6230.8,1
484,5212345678900484,449,MA732193,2,1,3,2014,3,2017,58840.0,5884.0,1
485,5212345678900485,530,VI866218,1,1,11,2014,11,2019,57844.0,5784.4,1
486,5212345678900486,156,VI991116,1,1,9,2014,9,2018,23522.0,2352.2,1
487,5212345678900487,633,MA746881,2,1,4,2014,4,2017,10942.0,1094.2,1
488,5212345678900488,397,VI348924,1,1,5,2014,5,2018,49676.0,4967.6,1
489,5212345678900489,128,MA129860,2,1,9,2014,9,2017,46048.0,4604.8,1
490,5212345678900490,293,VI398796,1,1,7,2014,7,2020,8834.0,883.4,1
491,5212345678900491,659,MA808057,2,1,8,2014,8,2019,21418.0,2141.8,1
492,5212345678900492,798,MA233585,2,1,8,2014,8,2020,37612.0,3761.2,1
493,5212345678900493,704,AM779033,3,1,9,2014,9,2020,25072.0,2507.2,1
494,5212345678900494,165,MA486737,2,1,12,2014,12,2019,14002.0,1400.2,1
495,5212345678900495,329,VI114388,1,1,9,2014,9,2020,7204.0,720.4,1
496,5212345678900496,375,MA671535,2,1,5,2014,5,2020,10604.0,1060.4,1
497,5212345678900497,707,VI672288,1,1,1,2014,1,2018,30872.0,3087.2,1
498,5212345678900498,607,VI253108,1,1,6,2014,6,2019,24262.0,2426.2,1
499,5212345678900499,669,VI586267,1,1,6,2014,6,2019,59270.0,5927.0,1
500,5212345678900500,346,VI629074,1,1,2,2014,2,2018,13966.0,1396.6,1
501,5212345678900501,858,VI121550,1,1,9,2014,9,2019,25058.0,2505.8,1
502,5212345678900502,816,VI103198,1,1,6,2014,6,2020,61994.0,6199.4,1
503,5212345678900503,273,MA714870,2,1,7,2014,7,2020,47582.0,4758.2,1
504,5212345678900504,309,AM194531,3,1,12,2014,12,2019,46278.0,4627.8,1
505,5212345678900505,606,MA850438,2,1,3,2014,3,2018,20954.0,2095.4,1
506,5212345678900506,830,MA938200,2,1,11,2014,11,2017,55566.0,5556.6,1
507,5212345678900507,896,MA883023,2,1,2,2014,2,2017,11996.0,1199.6,1
508,5212345678900508,896,VI330063,1,1,5,2014,5,2018,13346.0,1334.6,1
509,5212345678900509,322,VI900314,1,1,12,2014,12,2017,59560.0,5956.0,1
510,5212345678900510,159,MA771534,2,1,1,2014,1,2017,42954.0,4295.4,1
511,5212345678900511,189,MA614766,2,1,5,2014,5,2017,21078.0,2107.8,1
512,5212345678900512,398,VI597754,1,1,3,2014,3,2018,13550.0,1355.0,1
513,5212345678900513,735,VI716116,1,1,3,2014,3,2019,52430.0,5243.0,1
514,5212345678900514,606,MA956334,2,1,2,2014,2,2017,26470.0,2647.0,1
515,5212345678900515,274,VI226911,1,1,3,2014,3,2017,12494.0,1249.4,1
516,5212345678900516,870,AM907564,3,1,8,2014,8,2017,35668.0,3566.8,1
517,5212345678900517,981,VI355404,1,1,7,2014,7,2020,19172.0,1917.2,1
518,5212345678900518,502,AM199929,3,1,4,2014,4,2019,54898.0,5489.8,1
519,5212345678900519,608,VI825033,1,1,4,2014,4,2019,29336.0,2933.6,1
520,5212345678900520,212,VI798540,1,1,9,2014,9,2018,33406.0,3340.6,1
521,5212345678900521,699,VI426507,1,1,5,2014,5,2018,20864.0,2086.4,1
522,5212345678900522,623,AM248598,3,1,4,2014,4,2020,23848.0,2384.8,1
523,5212345678900523,135,VI497857,1,1,10,2014,10,2020,27178.0,2717.8,1
524,5212345678900524,297,VI390328,1,1,10,2014,10,2017,55910.0,5591.0,1
525,5212345678900525,307,VI683853,1,1,6,2014,6,2018,8058.0,805.8,1
526,5212345678900526,661,VI771770,1,1,9,2014,9,2018,42568.0,4256.8,1
527,5212345678900527,217,VI464008,1,1,11,2014,11,2019,37904.0,3790.4,1
528,5212345678900528,534,MA541248,2,1,8,2014,8,2017,49734.0,4973.4,1
529,5212345678900529,554,VI832972,1,1,3,2014,3,2019,30452.0,3045.2,1
530,5212345678900530,759,VI694939,1,1,5,2014,5,2018,50768.0,5076.8,1
531,5212345678900531,678,VI287065,1,1,3,2014,3,2018,27418.0,2741.8,1
532,5212345678900532,262,VI718490,1,1,5,2014,5,2019,46060.0,4606.0,1
533,5212345678900533,304,MA256332,2,1,8,2014,8,2017,24616.0,2461.6,1
534,5212345678900534,542,VI545954,1,1,12,2014,12,2019,28912.0,2891.2,1
535,5212345678900535,234,MA752901,2,1,10,2014,10,2020,8966.0,896.6,1
536,5212345678900536,374,MA251843,2,1,6,2014,6,2020,57712.0,5771.2,1
537,5212345678900537,671,MA612470,2,1,10,2014,10,2017,15142.0,1514.2,1
538,5212345678900538,230,VI890935,1,1,9,2014,9,2017,54300.0,5430.0,1
539,5212345678900539,146,VI195251,1,1,5,2014,5,2018,10188.0,1018.8,1
540,5212345678900540,607,AM475320,3,1,6,2014,6,2017,27916.0,2791.6,1
541,5212345678900541,578,VI222800,1,1,4,2014,4,2018,39704.0,3970.4,1
542,5212345678900542,506,MA230903,2,1,12,2014,12,2017,61476.0,6147.6,1
543,5212345678900543,945,MA545955,2,1,8,2014,8,2017,44976.0,4497.6,1
544,5212345678900544,240,VI701459,1,1,7,2014,7,2020,7282.0,728.2,1
545,5212345678900545,852,VI376762,1,1,4,2014,4,2020,28284.0,2828.4,1
546,5212345678900546,562,VI527030,1,1,6,2014,6,2020,26962.0,2696.2,1
547,5212345678900547,560,VI748334,1,1,12,2014,12,2017,23644.0,2364.4,1
548,5212345678900548,566,MA856346,2,1,1,2014,1,2017,23762.0,2376.2,1
549,5212345678900549,716,VI678553,1,1,8,2014,8,2020,49382.0,4938.2,1
550,5212345678900550,305,VI125473,1,1,9,2014,9,2017,62300.0,6230.0,1
551,5212345678900551,634,MA932580,2,1,1,2014,1,2019,13604.0,1360.4,1
552,5212345678900552,526,MA889051,2,1,7,2014,7,2019,38038.0,3803.8,1
553,5212345678900553,683,VI994321,1,1,1,2014,1,2019,19498.0,1949.8,1
554,5212345678900554,288,VI180188,1,1,2,2014,2,2019,15578.0,1557.8,1
555,5212345678900555,349,VI270178,1,1,9,2014,9,2019,24500.0,2450.0,1
556,5212345678900556,625,MA370831,2,1,5,2014,5,2019,60830.0,6083.0,1
557,5212345678900557,633,VI391376,1,1,10,2014,10,2018,58980.0,5898.0,1
558,5212345678900558,630,VI179582,1,1,12,2014,12,2018,52260.0,5226.0,1
559,5212345678900559,465,VI703968,1,1,1,2014,1,2019,55264.0,5526.4,1
560,5212345678900560,718,AM385233,3,1,7,2014,7,2020,28432.0,2843.2,1
561,5212345678900561,369,VI580674,1,1,3,2014,3,2018,23094.0,2309.4,1
562,5212345678900562,587,VI246360,1,1,12,2014,12,2020,45690.0,4569.0,1
563,5212345678900563,357,VI186867,1,1,12,2014,12,2018,8966.0,896.6,1
564,5212345678900564,836,MA998465,2,1,7,2014,7,2017,41502.0,4150.2,1
565,5212345678900565,908,VI284517,1,1,1,2014,1,2017,48010.0,4801.0,1
566,5212345678900566,302,VI745889,1,1,8,2014,8,2017,16250.0,1625.0,1
567,5212345678900567,252,VI876918,1,1,7,2014,7,2018,64330.0,6433.0,1
568,5212345678900568,259,VI407746,1,1,1,2014,1,2020,16308.0,1630.8,1
569,5212345678900569,296,VI317150,1,1,1,2014,1,2018,21424.0,2142.4,1
570,5212345678900570,359,AM906018,3,1,11,2014,11,2019,55784.0,5578.4,1
571,5212345678900571,182,VI951581,1,1,7,2014,7,2019,9366.0,936.6,1
572,5212345678900572,727,AM993195,3,1,3,2014,3,2020,55872.0,5587.2,1
573,5212345678900573,534,VI679059,1,1,7,2014,7,2018,63044.0,6304.4,1
574,5212345678900574,156,VI933072,1,1,10,2014,10,2018,23458.0,2345.8,1
575,5212345678900575,297,VI878657,1,1,11,2014,11,2019,29178.0,2917.8,1
576,5212345678900576,969,VI948971,1,1,12,2014,12,2020,48858.0,4885.8,1
577,5212345678900577,950,VI738547,1,1,2,2014,2,2020,62006.0,6200.6,1
578,5212345678900578,544,VI460447,1,1,10,2014,10,2020,53706.0,5370.6,1
579,5212345678900579,700,VI528841,1,1,8,2014,8,2017,16242.0,1624.2,1
580,5212345678900580,526,VI164427,1,1,4,2014,4,2019,43158.0,4315.8,1
581,5212345678900581,892,AM760827,3,1,1,2014,1,2019,15916.0,1591.6,1
582,5212345678900582,452,MA758043,2,1,10,2014,10,2020,58120.0,5812.0,1
583,5212345678900583,816,VI377575,1,1,8,2014,8,2017,47850.0,4785.0,1
584,5212345678900584,434,VI836848,1,1,4,2014,4,2019,39490.0,3949.0,1
585,5212345678900585,574,MA948358,2,1,2,2014,2,2020,24546.0,2454.6,1
586,5212345678900586,972,AM824930,3,1,2,2014,2,2018,26528.0,2652.8,1
587,5212345678900587,530,VI705309,1,1,12,2014,12,2020,54992.0,5499.2,1
588,5212345678900588,715,VI822798,1,1,11,2014,11,2019,10304.0,1030.4,1
589,5212345678900589,737,VI325835,1,1,3,2014,3,2020,32668.0,3266.8,1
590,5212345678900590,394,VI525998,1,1,2,2014,2,2018,22044.0,2204.4,1
591,5212345678900591,400,MA252477,2,1,2,2014,2,2017,31814.0,3181.4,1
592,5212345678900592,709,MA931532,2,1,9,2014,9,2020,44522.0,4452.2,1
593,5212345678900593,870,MA264455,2,1,4,2014,4,2020,41318.0,4131.8,1
594,5212345678900594,996,MA774011,2,1,1,2014,1,2019,57742.0,5774.2,1
595,5212345678900595,471,VI202176,1,1,1,2014,1,2020,37408.0,3740.8,1
596,5212345678900596,638,VI938138,1,1,3,2014,3,2017,41526.0,4152.6,1
597,5212345678900597,488,VI472740,1,1,3,2014,3,2019,46188.0,4618.8,1
598,5212345678900598,760,MA700507,2,1,11,2014,11,2020,51636.0,5163.6,1
599,5212345678900599,174,MA904001,2,1,6,2014,6,2020,43032.0,4303.2,1
600,5212345678900600,176,VI821222,1,1,12,2014,12,2019,56332.0,5633.2,1
601,5212345678900601,280,VI702856,1,1,11,2014,11,2017,23648.0,2364.8,1
602,5212345678900602,622,VI238694,1,1,4,2014,4,2020,38244.0,3824.4,1
603,5212345678900603,664,MA531162,2,1,11,2014,11,2019,29276.0,2927.6,1
604,5212345678900604,225,VI841560,1,1,3,2014,3,2019,23612.0,2361.2,1
605,5212345678900605,949,VI341415,1,1,4,2014,4,2020,52324.0,5232.4,1
606,5212345678900606,890,MA301144,2,1,7,2014,7,2020,32396.0,3239.6,1
607,5212345678900607,213,MA716747,2,1,10,2014,10,2019,10904.0,1090.4,1
608,5212345678900608,356,VI743710,1,1,8,2014,8,2018,12408.0,1240.8,1
609,5212345678900609,574,VI893682,1,1,8,2014,8,2020,37354.0,3735.4,1
610,5212345678900610,852,VI360783,1,1,11,2014,11,2020,33004.0,3300.4,1
611,5212345678900611,495,MA108324,2,1,11,2014,11,2017,23338.0,2333.8,1
612,5212345678900612,985,MA951065,2,1,2,2014,2,2018,10454.0,1045.4,1
613,5212345678900613,812,VI111233,1,1,3,2014,3,2020,32960.0,3296.0,1
614,5212345678900614,985,VI336386,1,1,3,2014,3,2019,59726.0,5972.6,1
615,5212345678900615,533,MA355883,2,1,9,2014,9,2018,49238.0,4923.8,1
616,5212345678900616,333,MA309933,2,1,9,2014,9,2019,18910.0,1891.0,1
617,5212345678900617,732,VI686487,1,1,2,2014,2,2017,25170.0,2517.0,1
618,5212345678900618,650,VI674815,1,1,12,2014,12,2017,62176.0,6217.6,1
619,5212345678900619,822,MA642341,2,1,2,2014,2,2020,20468.0,2046.8,1
620,5212345678900620,724,VI368227,1,1,12,2014,12,2017,42926.0,4292.6,1
621,5212345678900621,649,MA467466,2,1,11,2014,11,2017,54032.0,5403.2,1
622,5212345678900622,412,MA230073,2,1,3,2014,3,2020,29374.0,2937.4,1
623,5212345678900623,957,MA655224,2,1,3,2014,3,2018,58848.0,5884.8,1
624,5212345678900624,548,VI942345,1,1,9,2014,9,2019,57570.0,5757.0,1
625,5212345678900625,844,MA506481,2,1,5,2014,5,2020,19150.0,1915.0,1
626,5212345678900626,535,VI934961,1,1,8,2014,8,2018,30134.0,3013.4,1
627,5212345678900627,665,VI806154,1,1,11,2014,11,2018,28542.0,2854.2,1
628,5212345678900628,764,MA559840,2,1,7,2014,7,2019,38622.0,3862.2,1
629,5212345678900629,614,VI419478,1,1,5,2014,5,2020,45138.0,4513.8,1
630,5212345678900630,324,VI210586,1,1,3,2014,3,2019,61728.0,6172.8,1
631,5212345678900631,627,VI917848,1,1,4,2014,4,2020,23216.0,2321.6,1
632,5212345678900632,695,VI267832,1,1,7,2014,7,2019,51890.0,5189.0,1
633,5212345678900633,470,VI490563,1,1,6,2014,6,2020,52854.0,5285.4,1
634,5212345678900634,681,MA169474,2,1,9,2014,9,2019,49564.0,4956.4,1
635,5212345678900635,299,VI389565,1,1,5,2014,5,2019,35156.0,3515.6,1
636,5212345678900636,621,MA950489,2,1,2,2014,2,2017,16736.0,1673.6,1
637,5212345678900637,246,AM773379,3,1,10,2014,10,2020,22988.0,2298.8,1
638,5212345678900638,127,VI508624,1,1,3,2014,3,2018,56170.0,5617.0,1
639,5212345678900639,843,MA237129,2,1,11,2014,11,2017,8416.0,841.6,1
640,5212345678900640,614,VI956573,1,1,3,2014,3,2019,14452.0,1445.2,1
641,5212345678900641,460,MA584505,2,1,7,2014,7,2018,40484.0,4048.4,1
642,5212345678900642,648,MA214959,2,1,11,2014,11,2019,24280.0,2428.0,1
643,5212345678900643,403,AM193440,3,1,4,2014,4,2019,52680.0,5268.0,1
644,5212345678900644,553,VI696073,1,1,5,2014,5,2018,22576.0,2257.6,1
645,5212345678900645,557,AM561040,3,1,1,2014,1,2020,61458.0,6145.8,1
646,5212345678900646,293,MA821966,2,1,1,2014,1,2020,11080.0,1108.0,1
647,5212345678900647,263,VI697143,1,1,11,2014,11,2018,28102.0,2810.2,1
648,5212345678900648,506,VI750605,1,1,3,2014,3,2018,15158.0,1515.8,1
649,5212345678900649,612,MA913363,2,1,8,2014,8,2019,44718.0,4471.8,1
650,5212345678900650,651,VI582972,1,1,11,2014,11,2020,52788.0,5278.8,1
651,5212345678900651,120,MA783775,2,1,3,2014,3,2017,57222.0,5722.2,1
652,5212345678900652,698,VI781300,1,1,1,2014,1,2018,53698.0,5369.8,1
653,5212345678900653,527,VI944827,1,1,11,2014,11,2018,17696.0,1769.6,1
654,5212345678900654,811,VI610567,1,1,9,2014,9,2018,34126.0,3412.6,1
655,5212345678900655,652,VI171331,1,1,2,2014,2,2020,29956.0,2995.6,1
656,5212345678900656,105,VI196212,1,1,10,2014,10,2019,57442.0,5744.2,1
657,5212345678900657,880,VI200375,1,1,12,2014,12,2019,30488.0,3048.8,1
658,5212345678900658,832,VI762091,1,1,7,2014,7,2018,30738.0,3073.8,1
659,5212345678900659,183,MA932371,2,1,12,2014,12,2019,35898.0,3589.8,1
660,5212345678900660,268,VI325058,1,1,2,2014,2,2019,56830.0,5683.0,1
661,5212345678900661,982,MA389574,2,1,9,2014,9,2017,38698.0,3869.8,1
