CUSTOMERID,CREDITCARDNO,INSURANCETYPE,PAYFREQUENCY,AMOUNT
765,2147483647,Term,Quarterly,300
766,2147483647,Term,Bi-Annual,500
767,2147483647,Health,Annual,1500
768,2147483647,Health,Quarterly,250
769,2147483647,Term,Bi-Annual,500
770,2147483647,Health,Annual,1500
771,2147483647,General,Annual,1500
772,2147483647,Health,Quarterly,250
773,2147483647,Health,Annual,1500
774,2147483647,Term,Quarterly,250
775,2147483647,Vehicle,Bi-Annual,675
776,2147483647,Health,Quarterly,340
777,2147483647,Vehicle,Monthly,200
778,2147483647,Vehicle,Monthly,145
779,2147483647,Term,Quarterly,250
780,2147483647,Term,Quarterly,250
781,2147483647,Vehicle,Monthly,145
782,2147483647,Health,Annual,1500
783,2147483647,Vehicle,Monthly,145
784,2147483647,Vehicle,Monthly,200
785,2147483647,Health,Annual,1100
786,2147483647,Vehicle,Bi-Annual,500
787,2147483647,Term,Bi-Annual,675
788,2147483647,Term,Quarterly,350
789,2147483647,Term,Quarterly,350
790,2147483647,Term,Bi-Annual,500
791,2147483647,Term,Quarterly,250
792,2147483647,Health,Annual,1500
793,2147483647,Health,Monthly,200
794,2147483647,Health,Monthly,200
795,2147483647,Vehicle,Monthly,145
796,2147483647,Health,Monthly,200
797,2147483647,Health,Annual,1500
798,2147483647,Health,Monthly,200
799,2147483647,Vehicle,Monthly,145
800,2147483647,Term,Quarterly,250
801,2147483647,Health,Quarterly,250
802,2147483647,General,Monthly,200
803,2147483647,General,Monthly,145
804,2147483647,Health,Quarterly,250
805,2147483647,Health,Annual,1500
806,2147483647,Vehicle,Bi-Annual,500
807,2147483647,Health,Quarterly,250
808,2147483647,Term,Quarterly,250
809,2147483647,Vehicle,Bi-Annual,500
810,2147483647,Health,Annual,1500
811,2147483647,Vehicle,Bi-Annual,500
812,2147483647,Health,Quarterly,350
813,2147483647,Term,Quarterly,250
814,2147483647,Vehicle,Bi-Annual,500
815,2147483647,Term,Quarterly,250
816,2147483647,Vehicle,Bi-Annual,500
817,2147483647,Term,Quarterly,250
818,2147483647,Term,Quarterly,250
819,2147483647,Vehicle,Bi-Annual,675
820,2147483647,General,Annual,1500
821,2147483647,Health,Annual,1500
822,2147483647,Health,Quarterly,250
823,2147483647,Health,Monthly,200
824,2147483647,Term,Quarterly,350
825,2147483647,Vehicle,Monthly,200
826,2147483647,Vehicle,Bi-Annual,500
827,2147483647,Health,Monthly,200
828,2147483647,Term,Quarterly,350
829,2147483647,General,Monthly,200
830,2147483647,Term,Quarterly,250
831,2147483647,Vehicle,Bi-Annual,500
832,2147483647,Health,Annual,1500
833,2147483647,Health,Quarterly,250
834,2147483647,Term,Quarterly,250
835,2147483647,Term,Quarterly,250
836,2147483647,General,Monthly,200
837,2147483647,Vehicle,Monthly,200
838,2147483647,Health,Quarterly,250
839,2147483647,Health,Monthly,145
840,2147483647,Health,Quarterly,275
841,2147483647,General,Monthly,200
842,2147483647,Term,Quarterly,275
843,2147483647,General,Monthly,145
844,2147483647,General,Monthly,145
845,2147483647,General,Monthly,200
846,2147483647,Term,Quarterly,275
847,2147483647,Vehicle,Monthly,200
848,2147483647,General,Annual,1500
849,2147483647,Vehicle,Bi-Annual,500
850,2147483647,Health,Quarterly,350
851,2147483647,Term,Quarterly,350
852,2147483647,Term,Quarterly,275
853,2147483647,Term,Quarterly,350
854,2147483647,Vehicle,Bi-Annual,675
855,2147483647,Term,Bi-Annual,500
856,2147483647,Health,Quarterly,350
857,2147483647,Health,Annual,1500
858,2147483647,Term,Bi-Annual,675
859,2147483647,Term,Quarterly,275
860,2147483647,Health,Monthly,145
861,2147483647,Term,Quarterly,275
862,2147483647,Vehicle,Bi-Annual,500
863,2147483647,Vehicle,Monthly,200
864,2147483647,Term,Quarterly,275
865,2147483647,General,Monthly,200
866,2147483647,General,Annual,1100
867,2147483647,Health,Monthly,145
868,2147483647,General,Monthly,145
869,2147483647,Health,Annual,1500
870,2147483647,General,Annual,1500
871,2147483647,Term,Bi-Annual,500
872,2147483647,Health,Annual,1500
873,2147483647,Vehicle,Bi-Annual,500
874,2147483647,Health,Annual,1100
875,2147483647,Term,Bi-Annual,675
876,2147483647,General,Monthly,165
877,2147483647,Vehicle,Bi-Annual,675
878,2147483647,Term,Quarterly,350
879,2147483647,Term,Bi-Annual,675
880,2147483647,Term,Bi-Annual,500
881,2147483647,Term,Quarterly,350
882,2147483647,Vehicle,Monthly,165
883,2147483647,Term,Quarterly,275
884,2147483647,General,Monthly,165
885,2147483647,Term,Quarterly,275
886,2147483647,Term,Quarterly,350
887,2147483647,Health,Annual,1500
888,2147483647,General,Annual,1100
889,2147483647,Health,Monthly,165
890,2147483647,Vehicle,Monthly,165
891,2147483647,Vehicle,Bi-Annual,500
892,2147483647,Health,Monthly,165
893,2147483647,General,Monthly,145
894,2147483647,Health,Annual,1100
895,2147483647,Term,Quarterly,275
896,2147483647,Term,Quarterly,275
897,2147483647,Term,Quarterly,275
898,2147483647,Vehicle,Bi-Annual,675
899,2147483647,Term,Quarterly,275
900,2147483647,Term,Quarterly,275
901,2147483647,Term,Quarterly,350
902,2147483647,Vehicle,Bi-Annual,500
903,2147483647,Health,Annual,1500
904,2147483647,General,Annual,1100
905,2147483647,Term,Quarterly,275
906,2147483647,General,Annual,1500
907,2147483647,General,Monthly,165
908,2147483647,Health,Quarterly,275
909,2147483647,General,Annual,1100
910,2147483647,Health,Annual,1500
911,2147483647,Health,Annual,950
912,2147483647,Term,Quarterly,275
913,2147483647,Term,Quarterly,275
914,2147483647,General,Annual,950
915,2147483647,Vehicle,Bi-Annual,500
916,2147483647,General,Annual,1500
917,2147483647,Term,Quarterly,350
918,2147483647,Vehicle,Bi-Annual,500
919,2147483647,Health,Quarterly,275
920,2147483647,Health,Annual,1500
921,2147483647,Term,Bi-Annual,500
922,2147483647,Health,Quarterly,275
923,2147483647,Term,Bi-Annual,675
924,2147483647,Vehicle,Bi-Annual,500
925,2147483647,Vehicle,Monthly,165
926,2147483647,Vehicle,Monthly,165
927,2147483647,Health,Annual,1500
928,2147483647,Health,Monthly,165
929,2147483647,General,Annual,1500
930,2147483647,Vehicle,Bi-Annual,500
931,2147483647,Term,Bi-Annual,500
932,2147483647,Health,Annual,950
933,2147483647,General,Monthly,165
934,2147483647,Term,Quarterly,275
935,2147483647,General,Monthly,165
936,2147483647,Vehicle,Monthly,165
937,2147483647,Health,Annual,1500
938,2147483647,Health,Monthly,165
939,2147483647,Health,Quarterly,275
940,2147483647,Health,Annual,950
941,2147483647,Vehicle,Monthly,165
942,2147483647,Vehicle,Monthly,165
943,2147483647,Vehicle,Bi-Annual,500
944,2147483647,General,Monthly,170
945,2147483647,Health,Quarterly,275
946,2147483647,Health,Quarterly,275
947,2147483647,Health,Monthly,170
948,2147483647,Health,Quarterly,275
949,2147483647,General,Annual,1500
950,2147483647,Vehicle,Bi-Annual,500
951,2147483647,Term,Bi-Annual,500
952,2147483647,Health,Quarterly,275
953,2147483647,Health,Monthly,170
954,2147483647,Health,Annual,1500
955,2147483647,Health,Monthly,170
956,2147483647,Health,Monthly,170
957,2147483647,Term,Bi-Annual,500
958,2147483647,General,Annual,1500
959,2147483647,General,Annual,1500
960,2147483647,Health,Monthly,170
961,2147483647,General,Monthly,170
962,2147483647,Health,Annual,1500
963,2147483647,Health,Annual,950
964,2147483647,General,Monthly,170
965,2147483647,Term,Quarterly,350
966,2147483647,Term,Quarterly,350
967,2147483647,Term,Quarterly,350
968,2147483647,Health,Quarterly,275
969,2147483647,Term,Quarterly,275
970,2147483647,General,Monthly,170
971,2147483647,Term,Bi-Annual,500
972,2147483647,General,Monthly,145
973,2147483647,Health,Annual,1500
974,2147483647,Vehicle,Monthly,170
975,2147483647,Vehicle,Monthly,170
976,2147483647,Health,Annual,1500
977,2147483647,Term,Bi-Annual,675
978,2147483647,Health,Monthly,170
979,2147483647,Health,Annual,950
980,2147483647,Term,Quarterly,350
981,2147483647,Term,Quarterly,275
982,2147483647,Health,Quarterly,350
983,2147483647,Term,Quarterly,275
984,2147483647,General,Monthly,170
985,2147483647,Term,Quarterly,275
986,2147483647,General,Monthly,145
987,2147483647,Vehicle,Monthly,145
988,2147483647,Health,Annual,1500
989,2147483647,General,Monthly,145
990,2147483647,General,Monthly,145
991,2147483647,General,Annual,950
992,2147483647,Vehicle,Bi-Annual,675
993,2147483647,Vehicle,Bi-Annual,500
994,2147483647,Health,Annual,1500
995,2147483647,General,Annual,1500
996,2147483647,General,Monthly,145
997,2147483647,Vehicle,Bi-Annual,500
998,2147483647,General,Annual,950
999,2147483647,Vehicle,Monthly,170
1000,2147483647,Health,Annual,950
